Price,Date,Zip_Code,Address,ABC,EFG,X,County,Area,Area1
400000,22/01/2016,N3 3QH,ELLERTON LODGE,FLAT 20,EAST END ROAD,,LONDON,BARNET,GREATER LONDON
455000,12/02/2016,HA3 8TA,108,,HARTFORD AVENUE,,HARROW,HARROW,GREATER LONDON
659000,19/02/2016,NW3 4HN,41C,,BELSIZE SQUARE,,LONDON,CAMDEN,GREATER LONDON
1115000,27/01/2016,NW1 7BY,"GILBEY HOUSE, 38",FLAT 1,JAMESTOWN ROAD,,LONDON,CAMDEN,GREATER LONDON
860000,08/01/2016,W1U 6HH,72,FLAT 9,GLOUCESTER PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
225000,01/02/2016,HA0 3BL,"JEFFERSON LODGE, 85",FLAT 1,SUDBURY AVENUE,,WEMBLEY,BRENT,GREATER LONDON
180000,22/01/2016,RM10 7XT,2,,FELHURST CRESCENT,,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON
885000,05/02/2016,WC2N 6HA,10,FLAT 63,JOHN ADAM STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
374000,05/02/2016,N2 8ED,9,,RED LION HILL,,LONDON,BARNET,GREATER LONDON
565000,21/01/2016,NW3 4RP,"STANBURY COURT, 99",FLAT 19,HAVERSTOCK HILL,,LONDON,CAMDEN,GREATER LONDON
689995,05/02/2016,NW1 8TE,WIDFORD,FLAT 2,CASTLE ROAD,,LONDON,CAMDEN,GREATER LONDON
800000,15/01/2016,NW1 6JX,"WATERDALE MANOR HOUSE, 20",FLAT 206,HAREWOOD AVENUE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
810000,29/01/2016,WC2N 6HA,10,FLAT 40,JOHN ADAM STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
400000,29/01/2016,W9 3EY,73B,,FERNHEAD ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
270000,15/02/2016,NW9 0AD,104,,BUCK LANE,,LONDON,BRENT,GREATER LONDON
425000,15/01/2016,NW3 4RS,119,FLAT 2,HAVERSTOCK HILL,,LONDON,CAMDEN,GREATER LONDON
545000,21/01/2016,N19 3HZ,58,FLAT 3,FAIRBRIDGE ROAD,,LONDON,ISLINGTON,GREATER LONDON
359950,22/01/2016,NW5 2BA,ROWSTOCK,FLAT 36,OSENEY CRESCENT,,LONDON,CAMDEN,GREATER LONDON
435000,05/02/2016,UB8 3DX,25,,NEW ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON
505000,23/02/2016,N13 5JD,43,,ECCLESBOURNE GARDENS,,LONDON,ENFIELD,GREATER LONDON
1040000,21/01/2016,W12 7ER,39,,ABDALE ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
1539500,10/02/2016,NW6 1TY,75,,SOLENT ROAD,,LONDON,CAMDEN,GREATER LONDON
1250000,29/01/2016,N6 6LX,1A,,HOLLY TERRACE,,LONDON,CAMDEN,GREATER LONDON
815000,05/01/2016,NW2 3TJ,92D,,FORDWYCH ROAD,,LONDON,CAMDEN,GREATER LONDON
300000,04/02/2016,N15 3AA,27,FLAT 4,TERRONT ROAD,,LONDON,HARINGEY,GREATER LONDON
535000,22/01/2016,HA4 6NB,25,,TREVOR CRESCENT,,RUISLIP,HILLINGDON,GREATER LONDON
760000,15/01/2016,N16 6LS,1,,STAMFORD GROVE EAST,,LONDON,HACKNEY,GREATER LONDON
2800000,01/02/2016,SW3 3RT,1,,ASTELL STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
652500,10/02/2016,EN4 8HY,78,,CAT HILL,,BARNET,BARNET,GREATER LONDON
575000,26/01/2016,W13 9TW,103,,BALFOUR ROAD,,LONDON,EALING,GREATER LONDON
710000,10/02/2016,N12 0NS,21,,CHURCHFIELD AVENUE,,LONDON,BARNET,GREATER LONDON
362000,27/01/2016,UB7 8LG,16,,CASTLE AVENUE,,WEST DRAYTON,HILLINGDON,GREATER LONDON
663000,18/01/2016,W2 2RB,PARK WEST,FLAT 623,EDGWARE ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
825000,08/01/2016,NW10 3HS,41,FLAT 2,WRENTHAM AVENUE,,LONDON,BRENT,GREATER LONDON
630000,10/02/2016,N8 7PY,3,,MYDDELTON ROAD,,LONDON,HARINGEY,GREATER LONDON
335000,29/01/2016,UB9 6EX,22,,ASH GROVE,HAREFIELD,UXBRIDGE,HILLINGDON,GREATER LONDON
732500,29/01/2016,E5 0EB,12,,TREHURST STREET,,LONDON,HACKNEY,GREATER LONDON
985000,15/01/2016,SW6 3SF,RIVERMEAD COURT,148,RANELAGH GARDENS,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
960000,17/02/2016,EN2 9AW,54,,CLAY HILL,,ENFIELD,ENFIELD,GREATER LONDON
437000,26/02/2016,HA3 6ES,56,,PARK CRESCENT,,HARROW,HARROW,GREATER LONDON
360000,22/01/2016,UB10 0DR,39,,BRAMPTON ROAD,HILLINGDON,UXBRIDGE,HILLINGDON,GREATER LONDON
300000,19/02/2016,N9 7NE,41,,WOODSTOCK CRESCENT,,LONDON,ENFIELD,GREATER LONDON
250000,01/02/2016,NW6 1DS,72B,,FORTUNE GREEN ROAD,,LONDON,CAMDEN,GREATER LONDON
350000,08/02/2016,HA8 9HA,14,,THE MEADS,,EDGWARE,BARNET,GREATER LONDON
1600000,28/01/2016,N1 7DJ,41,,ST PAUL STREET,ISLINGTON,LONDON,ISLINGTON,GREATER LONDON
420000,05/02/2016,HA4 6PJ,28,,STAFFORD ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
1010000,06/01/2016,HA5 3AQ,19,,WAKEHAMS HILL,,PINNER,HARROW,GREATER LONDON
280000,25/01/2016,N18 1NL,68,,HUXLEY ROAD,,LONDON,ENFIELD,GREATER LONDON
395000,12/01/2016,NW7 2DL,4,,ROWLANDS CLOSE,,LONDON,BARNET,GREATER LONDON
175000,04/02/2016,UB4 9HX,142,,GREENWAY,,HAYES,HILLINGDON,GREATER LONDON
1260569,09/02/2016,N3 1QP,8,,GROVE AVENUE,,LONDON,BARNET,GREATER LONDON
350000,11/02/2016,TW7 5JB,40,,REDESDALE GARDENS,,ISLEWORTH,HOUNSLOW,GREATER LONDON
515000,06/01/2016,N10 2LP,30,,SYDNEY ROAD,,LONDON,BARNET,GREATER LONDON
290000,16/02/2016,HA8 7SX,ORCHARD COURT,FLAT 14A,STONEGROVE,,EDGWARE,HARROW,GREATER LONDON
710000,10/02/2016,NW6 6AD,74,FLAT A,BRONDESBURY VILLAS,,LONDON,BRENT,GREATER LONDON
1093205,28/01/2016,EC4Y 1AA,18 - 19,THIRD FLOOR FLAT 3A,FLEET STREET,,LONDON,CITY OF LONDON,GREATER LONDON
1450000,01/02/2016,EC1M 5PS,44 - 48,FLAT 4,CLERKENWELL ROAD,,LONDON,ISLINGTON,GREATER LONDON
483000,08/02/2016,NW10 8AY,147B,,HARLEY ROAD,,LONDON,BRENT,GREATER LONDON
460000,29/01/2016,NW5 4AL,93,,KILN PLACE,,LONDON,CAMDEN,GREATER LONDON
395000,18/01/2016,HA2 8TE,75,,BALMORAL ROAD,,HARROW,HARROW,GREATER LONDON
845000,05/02/2016,EC1Y 2AN,"LEXINGTON APARTMENTS, 40",62,CITY ROAD,,LONDON,ISLINGTON,GREATER LONDON
433000,12/02/2016,NW1 9JN,11,FLAT 4,ROCHESTER TERRACE,,LONDON,CAMDEN,GREATER LONDON
685000,08/01/2016,NW6 6AB,34C,,BRONDESBURY VILLAS,,LONDON,BRENT,GREATER LONDON
